cell_id,road_density,building_area_ratio
"4928,25325",0.0,0.0
"4929,25325",0.007438565423961718,0.01913271049687172
"4930,25325",0.01700702070767992,0.08140660947392295
"4927,25326",0.006980417291008547,0.0
"4928,25326",0.0,0.0
"4929,25326",0.0,0.006888941931708937
"4930,25326",0.006590388778058101,0.006396025283192518
"4927,25327",0.006253429087569755,0.0
"4928,25327",0.0,0.0
"4929,25327",0.0002128257332430258,0.0
"4930,25327",0.007096458537477551,0.0
"4931,25327",0.009073340188096782,0.0
"4927,25328",0.030687102195343346,0.0
"4928,25328",0.0,0.0
"4929,25328",0.0,0.0
"4930,25328",0.0,0.0
"4931,25328",0.007649329495933232,0.0023856376679126812
"4926,25329",0.0042749963882363,0.0
"4927,25329",0.010786026963806438,0.0
"4928,25329",0.014762222163374052,0.0
"4929,25329",0.0005826233152253322,0.0
"4930,25329",0.007094431016894124,0.0
"4931,25329",0.013876411575040146,0.013223523741785191
"4932,25329",0.0202767710774644,0.01683265340752864
"4933,25329",0.007541045097104775,0.035409643674385816
"4924,25330",0.006708177127889296,0.037794402796614335
"4925,25330",0.0068140306357328175,0.0
"4926,25330",0.008459270811090658,0.0
"4927,25330",0.007957662146311469,0.0
"4928,25330",0.011985219319631807,0.0
"4929,25330",0.01801199358259019,0.0
"4930,25330",0.005943038149302279,0.0
"4931,25330",0.00935678515179264,0.0
"4932,25330",4.440936414940706e-05,0.0
"4933,25330",0.012015584519746717,0.0
"4934,25330",0.01463468582367503,0.0
"4935,25330",0.006290970848741593,0.0
"4922,25331",0.010434280719950204,0.0
"4923,25331",0.006318467056392132,0.0
"4924,25331",0.006276000401885268,0.0
"4925,25331",0.01060741795906544,0.0
"4926,25331",0.009028881418295776,0.0
"4927,25331",0.005727166932875011,0.0
"4928,25331",0.0,0.0
"4929,25331",0.006969824626063341,0.0
"4930,25331",0.020946637216190812,0.0
"4931,25331",0.011121210764273104,0.0
"4932,25331",0.0003094892424523426,0.0
"4933,25331",0.024631570255638686,0.0
"4934,25331",0.004121950289409643,0.0
"4935,25331",0.006153731256287149,0.0
"4936,25331",0.004432165584775534,0.0
"4921,25332",0.014141637479195564,0.0
"4922,25332",0.004699494607125449,0.0
"4923,25332",0.010779729807211461,0.0
"4924,25332",0.009473891357072776,0.0
"4925,25332",0.008047627368676171,0.0
"4926,25332",0.0,0.0
"4927,25332",0.0,0.0
"4928,25332",0.0026633313149378723,0.0
"4929,25332",0.006969397913593124,0.0
"4930,25332",0.008912516333182817,0.0
"4931,25332",0.003076143804839983,0.0
"4932,25332",0.022771430396053165,0.0
"4933,25332",0.02998607232626314,0.0
"4934,25332",0.008747034709962305,0.0
"4935,25332",0.009051355234316034,0.0
"4936,25332",0.0035417436475466903,0.0
"4937,25332",0.0,0.0
"4938,25332",0.005125160118213136,0.0
"4920,25333",0.0062312385796149195,0.0
"4921,25333",0.0009476433345379275,0.0
"4922,25333",0.006198404690341203,0.0
"4923,25333",0.013207760824616457,0.0
"4924,25333",0.007386069727922406,0.0
"4925,25333",0.0005073067832356462,0.0
"4926,25333",0.0179384616095289,0.0
"4927,25333",0.019416855759258198,0.0
"4928,25333",0.028155486483866673,0.007858385053831456
"4929,25333",0.021375461756628352,0.0
"4930,25333",0.022411453541095545,0.0
"4931,25333",0.025502702530050776,0.0
"4932,25333",0.012176138635068615,0.0
"4933,25333",0.004671630957707511,0.0003395331643811059
"4934,25333",0.028113091263202595,0.0
"4935,25333",0.01979205014272894,0.0
"4936,25333",0.0,0.0
"4937,25333",0.0053809686723400516,0.0
"4938,25333",0.0010258753967510395,0.0
"4919,25334",0.020752428641458286,0.024163285026949994
"4920,25334",0.013555542850092977,0.00018280324514605224
"4921,25334",0.0,0.0
"4922,25334",0.006177802586534903,0.0021274330790324167
"4923,25334",0.01947526310757476,0.0009908764239236843
"4924,25334",0.014927742767972901,0.26773627373724324
"4925,25334",0.023989376269305123,0.06973467765737598
"4926,25334",0.007319953322392349,0.0
"4927,25334",0.007409244821536019,0.0
"4928,25334",0.006545174034814446,0.0
"4929,25334",0.0,0.0
"4930,25334",0.009682221417246424,0.0023181383915681737
"4931,25334",0.01709506380456362,0.0
"4932,25334",0.024638322155969738,0.0
"4933,25334",0.01379136983503963,0.13017320544210412
"4934,25334",0.007787359836111954,0.09139507370493327
"4935,25334",0.006153292365395453,0.0
"4936,25334",0.020485027544673892,0.0
"4937,25334",0.01641176233073883,0.0
"4938,25334",0.010484308376239504,0.0
"4919,25335",0.014388113709691286,0.09447286152468959
"4920,25335",0.021803778260343618,0.005603477502406023
"4921,25335",0.0,0.0
"4922,25335",0.006409360861152937,0.0
"4923,25335",0.015077941948885835,0.13097942837849447
"4924,25335",0.011748804986374576,0.4089385252272431
"4925,25335",0.015140096398189548,0.25465013437596473
"4926,25335",0.02032206903150008,0.20434924114367203
"4927,25335",0.015456199617280118,0.0
"4928,25335",0.02702823565851306,0.0
"4929,25335",0.014991758279706857,0.0
"4930,25335",0.02047025954090417,0.001957477936447037
"4931,25335",0.010135345933468761,0.0
"4932,25335",0.007189432807056745,0.0
"4933,25335",0.011905329300313652,0.038109548364275124
"4934,25335",0.009220700887299422,0.02927865104828957
"4935,25335",0.007417127179884229,0.024269664582455323
"4936,25335",0.00010181289181480647,0.0
"4937,25335",0.007330486304613511,0.0
"4938,25335",0.019202079432657414,0.0
"4918,25336",0.030126568315898706,0.17659321070068495
"4919,25336",0.00720799297963547,0.02298848710841035
"4920,25336",0.0019178093416860307,0.0
"4921,25336",0.027239691929594603,0.0
"4922,25336",0.0077866434113159615,0.0056482145618588706
"4923,25336",0.02329755726464028,0.1812411643809318
"4924,25336",0.026739187595661056,0.2411258305413617
"4925,25336",0.014469116982731345,0.19961685320843153
"4926,25336",0.03531305734471325,0.17706525190841055
"4927,25336",0.012681372617514538,0.01636442614462694
"4928,25336",0.013173281511476415,0.0037043937518395444
"4929,25336",0.018628461714285373,0.0002421694874118397
"4930,25336",0.005720828759836666,0.0
"4931,25336",0.0,0.0
"4932,25336",0.0,0.0
"4933,25336",0.012845648918536205,0.0
"4934,25336",0.008670621676389404,0.0
"4935,25336",0.0,0.0
"4936,25336",0.006483277667362741,0.0
"4937,25336",0.007157770599533961,0.0
"4938,25336",0.001780408081393264,0.0
"4939,25336",0.010333371533407253,0.0
"4940,25336",0.020858467733249977,0.0
"4918,25337",0.015296168962153772,0.14085015638623638
"4919,25337",0.015269755861611438,0.0
"4920,25337",0.012235126463752327,0.0
"4921,25337",0.00980861019719998,0.0
"4922,25337",0.02686059937036025,0.06988787952339882
"4923,25337",0.02323904916607101,0.303908925854602
"4924,25337",0.020772086626359158,0.28029511233513776
"4925,25337",0.018634200396692745,0.2715933623101609
"4926,25337",0.019936946315012864,0.26401842127873926
"4927,25337",0.02980431787441446,0.21772618120520432
